Disease Name,Symptoms
Ectopic pregnancy,"Symptoms usually start when you’re about 6 weeks pregnant and can include:

pain low down and on one side of your abdomen
bleeding from your vagina
pain in the tip of your shoulder
discomfort when going to the toilet
a brown watery discharge from your vagina

You might also have:

other more general symptoms such as pale skin and sweating
missed a period
some of the early signs of being pregnant, such as feeling tired or having sore breasts

It’s important to get medical help quickly if you have any of these symptoms.
Unfortunately, it’s not possible to save an ectopic pregnancy. It will need to be removed:

during an operation
by taking a medicine prescribed by your doctor

Public Health Scotland have created leaflets on pregnancy. 
If you need this leaflet in a different format or language, please contact phs.otherformats@phs.scot."
Edwards’ syndrome,
Endometriosis,"Symptoms can be different from person to person and month to month. Some people have no symptoms at all.
These symptoms may be endometriosis, but could also be other health conditions.
The exact cause of endometriosis is unknown. It’s sometimes believed to be genetic. That means if someone in your family has the condition, it’s more likely you may have it too.
It can be difficult to diagnose endometriosis. Symptoms can vary a lot and many other conditions can cause similar symptoms.
If you think you have symptoms of endometriosis, speak to your doctor. Share as much information as possible during your first appointment. This’ll hopefully help speed up your diagnosis.
It can be helpful to keep a note of your period dates (PDF, 238KB) and symptoms using a calendar, a diary or an app. You can discuss this with your doctor to help them understand what you’re experiencing.
You should let the doctor know if you have:

pain during your period, or at any other times of the month, and where you experience this pain
ever experienced pain or bleeding when you pee or poo, and if this is worse during your period

You should also give the doctor details about the pattern of your periods including:

the first day of your last period (when it started)
how many days your period usually lasts
what was the shortest time between your periods (from the first day of one period to the first day of the next)
what was the longest time between your periods (from the first day of one period to the first day of the next)

You should also let them know:

how you describe your period (light, medium, heavy or very heavy)
if you are over 25, when you had your last smear test
what treatments you have tried before to manage your symptoms

When you see your doctor about your symptoms, they’ll carry out what is called a pelvic examination. They will look at your vulva, vagina and cervix (the opening between the vagina and the womb) using a speculum (medical instrument). The doctor may then do an internal examination in the vagina to feel for tenderness and masses around the ovaries and womb. Sometimes other tests might be needed, such as a pelvic ultrasound scan. Your doctor will discuss this with you and you can ask any questions that you might have.
As this is an intimate examination, the doctor who performs it will have another person (chaperone) present. You can ask for a female doctor to carry it out.
If symptoms continue, your doctor may refer you to a gynaecologist.
The main way to confirm endometriosis is a laparoscopy. A laparoscopy is an operation to insert a camera (a laparoscope) into the pelvis through a small cut near the belly button. This is done under a general anaesthetic.
Sometimes it’s possible to remove some endometriosis tissue at the same time. This will be sent to the laboratory to confirm whether it is endometriosis. After the laparoscopy, the doctor will be able to tell you if you have endometriosis. It’s also possible that no endometriosis is seen at laparoscopy.
Not everyone with endometriosis needs to have a laparoscopy if their symptoms can be managed.
Get further information about laparoscopy in the recovering well patient information leaflet.
There is no cure for endometriosis. Treatments can help to control or improve your symptoms.
A hot water bottle or hot bath may help to provide comfort and help you to feel a bit better.
Paracetamol and non-steroidal anti-inflammatories (NSAIDs), such as ibuprofen and naproxen, can help reduce your pain.
Hormone treatments work by stopping the ovaries (part of the female reproductive system) producing oestrogen (female sex hormone) which is thought to stimulate the endometriosis.
Hormone treatments include:

contraceptive pill (the pill)
progesterone-only pill (mini pill)
contraceptive patch
contraceptive injection
intrauterine system (IUS)
Gonadotropin-releasing hormone (GnRH) analogues

GnRH analogues also reduce the production of oestrogen. This puts your body in temporary menopausal-like state. They are sometimes used if other hormonal treatments haven’t helped to manage symptoms. It’s recommended that hormone replacement therapy (HRT) is started at the same time to reduce side effects of this treatment.
GnRH analogues aren’t a contraceptive. You should use non-hormonal contraception (like a condom or diaphragm) when you have sex to avoid getting pregnant.
If you’re thinking about planning a pregnancy, speak to your doctor about your treatment first so you can decide what’s best for you.
Some people will have surgery to destroy or remove areas of endometriosis. Not everyone who has endometriosis will need or want surgery.
For some people surgery does not improve their symptoms. For others, the endometriosis may grow back so they may need further surgery. Your doctor will discuss this with you and you can ask any questions that you might have.
Sometimes it’s possible to remove some endometriosis tissue at the same time as diagnosis during a laparoscopy. Your doctor will discuss the findings and any further treatment afterwards.
If you have a complex type of endometriosis that needs specialist treatment, you might be referred to an endometriosis centre. These are in Edinburgh, Glasgow and Aberdeen. You’d usually be referred by a consultant gynaecologist. When you’re seen in the specialist centre, they’ll talk more with you about what options might be right for you.
Not everyone with endometriosis will need laparoscopic surgery. Your doctor will discuss your treatment options so you can decide what’s best for you.
Further information about endometriosis treatment
A hysterectomy (removal of the womb) is not a cure for endometriosis because the condition exists ‘outside the womb’.
For some people, a hysterectomy might relieve some symptoms, like heavy periods or if they also have adenomyosis. It may be an option if hormonal treatments or surgery have not helped symptoms and you don’t want to become pregnant.
You may want to trial a GnRH analogue before having a hysterectomy to help you decide.
If you choose to have a hysterectomy, you’ll need to decide whether to have your ovaries removed at the same time. Removing the ovaries will put you into menopause. Depending on your age and other medical conditions, your doctor may recommend HRT.
Your doctor will discuss your treatment options so you can decide what’s best for you.
Further information about hysterectomy
Endometriosis can also cause:

adhesions – scar tissue that can fuse organs together
ovarian cysts – fluid-filled cysts in the ovaries that can sometimes become very large and painful

Both of these complications can be treated with surgery but may come back if the endometriosis returns.
Read information about treating ovarian cysts
Many people with endometriosis are able to get pregnant naturally. However, some women with endometriosis can find it difficult to get pregnant.
If you’re having difficulty getting pregnant, your doctor may suggest extra support or treatments. Your doctor will discuss these with you and you can ask any questions that you might have.
Sometimes it can be hard to talk about endometriosis and the symptoms you’re experiencing. Hearing about other people’s experiences with endometriosis can help. There might be peer support groups near you or other local groups where you can hear other women’s stories, and share your own."
Epilepsy,"The main symptoms of epilepsy are repeated seizures. There are different types of seizure, depending on which part of the brain it affects.
The cells in the brain, known as neurons, conduct electrical signals. They communicate with each other in the brain using chemical messengers. During a seizure, there are abnormal bursts of neurons firing off electrical impulses. This can cause the brain and body to behave strangely.
The severity of seizures can differ from person to person. Some people experience an odd feeling with no loss of awareness, or may have a “trance-like” state for a few seconds or minutes. Others lose consciousness and have convulsions (uncontrollable shaking of the body).
Some people might only have a single seizure. If they do not have a high risk of having further seizures, they would not be regarded as having epilepsy.
People with epilepsy can experience any type of seizure, although most people have a consistent pattern of symptoms.
Seizures can occur when you’re awake or asleep.
The type of seizure depends on how much of the brain it affects. There are:

focal (or partial) seizures – where only a small part of the brain is affected
generalised seizures – where most or all of the brain is affected

Some seizures do not fit into these categories and are known as unclassified seizures.
There are two main types of focal seizure.
There are 6 main types of generalised seizure.
Myoclonic-tonic-clonic seizures and Myoclonic-atonic are seizures involving a combination of the generalised seizures above.
If you see someone having a seizure, there are some things you can do to help. It will not usually be necessary to call an ambulance after a seizure.
If you’re with someone who has a seizure:

protect them from injury by removing any dangerous or potentially harmful objects nearby
cushion their head with your hands or soft material
do not restrain them or attempt to move them (unless they are in immediate danger)
don’t put anything in their mouth
stay calm, and stay with them until they regain consciousness

When the convulsions have stopped, put them into the recovery position until they’ve recovered.
Status epilepticus is the name for any seizure that lasts longer than 5 minutes, or a series of seizures where the person does not regain consciousness in between. This is a medical emergency and requires treatment as soon as possible.
You can be trained to treat status epilepticus if you care for someone with epilepsy. It’s important to phone 999 for an ambulance immediately if you suspect status epilepticus.
If you’ve been trained to treat the condition, you’ll usually have been advised to use either:

a medication called buccal midazolam that comes in liquid form and is given by trickling the liquid onto the inside of the person’s cheek or up their nose (this is the most common immediate treatment)
a medication called diazepam that’s placed in the person’s rectum (less commonly used)

If you’ve tried one of these treatments and the seizures are continuing, phone 999 for an ambulance."
Erectile dysfunction (impotence),"The main symptom of erectile dysfunction (ED) is the inability to get and maintain an erection for satisfactory intercourse.
ED should not be confused with ejaculation problems such as premature ejaculation, which is a condition where the process of arousal, orgasm and ejaculation occurs very rapidly.
Sometimes ED only occurs in certain situations. For example, you may be able to get an erection during masturbation, or you may find that you sometimes wake up with an erection but you are unable to get an erection with your sexual partner.
In these circumstances, it is likely that the underlying cause of ED is primarily psychological (stress related). However, if you are unable to get an erection under any circumstances, it is likely that the underlying cause is primarily physical.
See your GP if ED persists for more than a few weeks. They will assess your general state of health because the condition can be the first sign of more serious health conditions, such as heart disease (when the heart’s blood supply is blocked or interrupted).
Many websites offer treatments for ED but their use is not recommended. The medications that are offered by these sites could be fake and may be dangerous. Even if the medications are genuine, they may not be suitable for you.
It is important that you only take medication for ED that your GP has prescribed for you.
Read more about treating erectile dysfunction"
Escherichia coli (E. coli) O157,"Symptoms include diarrhoea, stomach cramps and occasionally fever. About half of people with the infection will have bloody diarrhoea.
People usually notice symptoms 3 to 4 days after they have been infected. But symptoms can start any time between 1 and 14 days afterwards.
These symptoms can last up to 2 weeks.
A small number of people with E. coli O157 infection go on to develop a serious condition called haemolytic uraemic syndrome (HUS). Symptoms of HUS include:

peeing less
tiredness
swelling
bruising

This can sometimes lead to kidney failure and death, although this is rare. The risk of HUS is highest in children aged under 5 years.
Some people become infected but don’t develop symptoms.
Further information about gastroenteritis
There is no specific treatment for E. coli O157 infection. People who are infected can usually be cared for at home and most will get better without medical treatment.
It’s important to drink plenty of fluids, as diarrhoea can lead to dehydration.
Antibiotics are not recommended, and may increase the risk of complications.
Anti-diarrhoea drugs such as loperamide (Imodium) are also not recommended as they may prolong your exposure to the toxin.
Find out more about caring for a child with gastroenteritis and caring for an adult with gastroenteritis.
Strict hygiene measures are essential to stop others getting infected.
Anyone who has had an E. coli O157 infection should stay away from work or school until they have been completely free of symptoms for 48 hours.
Most people are no longer infectious after about a week, although some people, particularly children, may carry E. coli O157 for several months after they have got better.
Some people need to take special care before returning to work or school.
If you work in health or social care, or your work involves handling food, you should ask your local authority environmental health officers about when it is safe to return to work. This advice applies to both people who have been infected and those who live in the same household as someone who has.
If you have a child under 5 years of age who has had E. coli, or lives with someone who has, you should talk to your GP about when it is safe for your child to return to school or nursery.
Children under 5 years of age who have had an E. coli O157 infection should not swim in public swimming pools, or share paddling pools with others, until they have had test results showing that they are no longer an infection risk to others."
Ewing sarcoma,"The symptoms of Ewing sarcoma will depend on the size of the cancer and where it is in the body.
The main symptoms are pain in the affected area that gets progressively worse, and swelling and tenderness.
Other possible, but less common, symptoms may include a high temperature (fever), severe tiredness and weight loss.
In some cases of Ewing sarcoma, there may not be any symptoms at all. However, as the tumour grows it could weaken the affected bone, increasing the risk of fracture.
Like other types of bone cancer, the exact cause of Ewing sarcoma is unknown.
As the condition tends to predominantly affect older children and teenagers, one theory is that it may be related to fast-growing bones.
The rapid growth spurt that happens during puberty may in some way make bone tissue more vulnerable to cancer.
Research has also found babies born with an umbilical hernia are 3 times more likely to develop Ewing sarcoma. 
However, the increased risk is still small as only 1 in 110,000 children with an umbilical hernia will go on to develop the condition.
The Cancer Research UK website has more information about the risks and causes of bone cancer.
When you visit your GP because of bone pain, they’ll ask you about your symptoms and examine the affected area.
Your GP may refer you for an X-ray to check for anything abnormal. If abnormalities are found, you’ll be referred to an orthopaedic surgeon (a bone specialist).
They may recommend that you have a magnetic resonance imaging (MRI) scan to examine the area in closer detail.
A bone biopsy may be carried out to confirm whether cancer is present. A fine needle is used to remove a sample of bone marrow from the affected area so it can be examined under a microscope. It can either be carried out using a general anaesthetic or a local anaesthetic.
The Cancer Research UK website has more information about tests for bone cancer and the stages of bone cancer.
Like all types of cancer, the earlier Ewing sarcoma is diagnosed, the easier it is to treat.
Ewing sarcoma is usually treated with a combination of chemotherapy, surgery and radiotherapy.
Chemotherapy may be used before surgery to shrink the tumour and make it easier to remove.
Ewing sarcoma also responds well to radiotherapy. It can be used to shrink the tumour after chemotherapy, and before or after surgery to lower the risk of the cancer returning.
In some cases, surgically removing Ewing’s sarcoma can be difficult – for example, if it develops in the pelvis. In this case, radiotherapy may be used as the main treatment.
If surgery is recommended, the type you’ll have will depend on:

the size of the tumour
where it is in your body
whether it has grown into the tissues surrounding the bone

You may have surgery to remove part or all of the bone affected by cancer. This type of surgery is known as resection.
Limb-sparing surgery involves removing the area of bone on an arm or leg where the cancer is growing. A piece of metal (prosthesis) or a bone graft will be used to replace the piece of bone that is removed.
In some cases, your whole arm or leg may need to be removed (amputation). This may be the only option to prevent the cancer returning if it’s spread into the tissues surrounding the bone.
For more information about the types of treatment for bone cancer, visit the Cancer Research UK website.
If you’re diagnosed with bone cancer, it can be upsetting and frightening. Knowing as much about the type of cancer you have and the best treatment options will help you make decisions.
The majority of people who have surgery for bone cancer have a limb-sparing procedure.
However, for some people, having their limb amputated may be the best option. This can be a very difficult situation to cope with and you may experience emotions such as grief and bereavement.
It’s important to seek help and talk about how you’re feeling. You could talk to your partner, family, friends or the healthcare professionals in charge of your care. Talking to others will help you come to terms with your condition and treatment.
There are also a number of practical issues you’ll need to deal with, such as financial matters and coping with day-to-day activities such as school, college or work.
The Cancer Research UK website has more information on coping with bone cancer.
If you or your child has Ewing sarcoma, your clinical team will pass information about you/your child on to the National Congenital Anomaly and Rare Diseases Registration Service (NCARDRS).
This helps scientists look for better ways to prevent and treat this condition. You can opt out of the register at any time.
Find out more about the register"
Ewing sarcoma: Children,
Eye cancer,"Eye cancer doesn’t always cause obvious symptoms and may only be picked up during a routine eye test.
Symptoms of eye cancer can include:

shadows, flashes of light, or wiggly lines in your vision
blurred vision
a dark patch in your eye that’s getting bigger
partial or total loss of vision
bulging of one eye
a lump on your eyelid or in your eye that’s increasing in size
pain in or around your eye, although this is rare

These symptoms can also be caused by more minor eye conditions, so they’re not necessarily a sign of cancer. However, it’s important to get the symptoms checked by a doctor as soon as possible.
Melanoma is cancer that develops from pigment-producing cells called melanocytes. Most melanomas develop in the skin, but it’s also possible for them to occur in other parts of the body, including the eye.
Eye melanoma most commonly affects the eyeball. Doctors sometimes call it uveal or choroidal melanoma, depending on exactly which part of your eye is affected.
It can also affect the conjunctiva, the thin layer that covers the front of the eye, or the eyelid.
Eye melanoma occurs when the pigment-producing cells in the eyes divide and multiply too rapidly. This produces a lump of tissue known as a tumour.
It’s not clear exactly why this occurs, but the following factors may increase the risk of it happening:

lighter eye colour – if you have blue, grey or green eyes, you have a higher risk of developing eye melanoma compared with people who have brown eyes
white or pale skin – eye melanoma mostly affects white people and is more common in those with fair skin
unusual moles – if you have irregularly shaped or unusually coloured moles, you’re more at risk of developing skin cancer and eye melanoma
use of sunbeds – there’s some evidence to suggest that exposing yourself to ultraviolet (UV) radiation from sunbeds, for example, can increase your risk of eye melanoma
overexposure to sunlight – this increases your risk of skin cancer, and may also be a risk factor for eye melanoma

The risk of developing eye melanoma also increases with age, with most cases being diagnosed in people in their fifties.
If your GP or optician (optometrist) suspects you have a serious problem with your eyes, they will refer you to a specialist eye doctor called an ophthalmologist for an assessment.
If they suspect you have melanoma of the eye, they’ll refer you to a specialist centre for eye cancer. There are 4 centres in the UK, located in London, Sheffield, Liverpool, and Glasgow.
It’s likely you’ll have a number of different tests at the centre, including:

an eye examination – to look at the structures of your eyes in more detail and check for abnormalities
an ultrasound scan of your eye – a small probe placed over your closed eye uses high-frequency sound waves to create an image of the inside of your eye; this allows your doctor to find out more about the position of the tumour and its size
a fluorescein angiogram – where photographs of the suspected cancer are taken using a special camera after dye has been injected into your bloodstream to highlight the tumour

Occasionally, a thin needle may be used to remove a small sample of cells from the tumour (biopsy). The genetic information in these cells is analysed to give an indication of the chances of the cancer spreading or coming back.
Treatment for melanoma of the eye depends on the size and location of the tumour. Your care team will explain each treatment option in detail, including the benefits and any potential complications.
Treatment will aim to conserve the affected eye whenever possible.
The main treatments for eye melanoma are:

brachytherapy – tiny plates lined with radioactive material called plaques are inserted near the tumour and left in place for up to a week to kill the cancerous cells
external radiotherapy – a machine is used to carefully aim beams of radiation at the tumour to kill the cancerous cells
surgery to remove the tumour or part of the eye – this may be possible if the tumour is small and you still have some vision in your eye
removal of the eye (enucleation) – this may be necessary if the tumour is large or you’ve lost your vision; the eye will eventually be replaced with an artificial eye that matches your other eye

Chemotherapy is rarely used for eye melanoma, but may be suitable for other types of eye cancer.
The Cancer Research UK website has more information about the treatment options for eye cancer and the types of eye cancer surgery."
Farting,
Febrile seizures,"The main symptom of a febrile seizure is a fit that occurs while a child has a fever.
Febrile seizures often occur during the first day of a fever, which is defined as a high temperature of 38C (100.4F) or above. 
However, there appears to be no connection between the extent of your child’s fever and the start of a seizure. Seizures can occur even if your child has a mild fever.
Simple febrile seizures can happen when there’s a rapid rise in temperature and you may only realise your child is ill when they have a fit. Alternatively, they can occur as your child’s temperature drops from a high level.
During simple febrile seizures:

your child’s body will become stiff and their arms and legs will begin to twitch
they’ll lose consciousness and they may wet or soil themselves
they may also vomit and foam at the mouth and their eyes may roll back
the seizure usually lasts for less than five minutes
following the seizure, your child may be sleepy for up to an hour afterwards

Complex febrile seizures tend to last longer than 15 minutes, and the symptoms may only affect one area of your child’s body. The seizure sometimes recurs within 24 hours or during the period in which your child is ill.
You should take your child to hospital or dial 999 for an ambulance if:

your child is having a fit for the first time
the seizure lasts longer than five minutes and shows no signs of stopping
you suspect the seizure is being caused by another serious illness, for example meningitis
your child is having breathing difficulties

If your child has previously had febrile seizures, it’s recommended that you telephone your GP or call the NHS 24 111 service for advice.
You should also contact your GP or the NHS 24 111 service if your child shows signs and symptoms of dehydration (a lack of fluid in the body). This includes:

a dry mouth
sunken eyes
a lack of tears when crying
a sunken fontanelle – the soft spot usually found at the top of a young child’s head
"
Feeling of something in your throat (Globus),"Different people describe globus differently. It may be felt as:

tightness or a pressure in your throat
mucus that you cannot clear (catarrh)
an area of discomfort in your throat
a feeling of something stuck or a lump in your throat

If you feel something sticking in your throat, but can eat and drink normally and without pain, you do not need to worry.
Your symptoms may:

be most noticeable you’re swallowing your saliva
get worse with stress and worry
vary from day to day

If your symptoms do not improve, your GP will provide further support and advice on whether you need to see an ear nose and throat (ENT) specialist.
There are a number of things you can do to try to relieve globus symptoms.
In most people, symptoms will get better following these self-help tips. However, for some people symptoms can recur off and on for several months.
Smoking causes irritation to your throat. By stopping smoking, you can help to improve your globus symptoms.
Further information on stopping smoking
Try not to clear your throat as this can make your globus sensation worse. Try sipping water instead.
Losing any excess weight may reduce your symptoms.
Stress can increase your globus sensation.
If you think you might be stressed, try to relax in a way that is doable for you and your situation. Breathing and relaxation exercises can sometimes help. If you feel you need further help with managing stress, your GP can discuss this with you.
Further information about relieving stress"
Fever in adults,
Fever in children,
Fibroids,"Many people don’t know that they have fibroids because they don’t have any symptoms. This is nothing to worry about.
If your doctor thinks you might have fibroids, they’ll usually refer you for an ultrasound scan to confirm the diagnosis.
The exact cause of fibroids is unknown. They’re linked to the hormones produced by the ovaries, oestrogen and progesterone. Fibroids usually develop and grow as long as the ovaries are producing these hormones. Fibroids may continue to grow during pregnancy. They tend to shrink when these hormone levels fall, such as after the menopause.
There are different types of fibroid. The main types of fibroids are:

intramural – the most common type of fibroid, these develop in the muscular wall of the womb
subserosal – fibroids that develop on the outside part of the wall of the womb and can become very large
submucosal – fibroids that develop in the muscular layer of the womb beneath the womb’s inner lining (endometrium) and grow into the inside of the womb
pedunculated – subserosal or submucosal fibroids that are attached to the womb with a narrow stalk of tissue

Fibroids will often shrink after the menopause, as hormone levels in your body change.
If you have fibroids, but you’re not affected by any symptoms then you don’t need treatment.
However, if you do have symptoms, your doctor can recommend the right treatment for you. Treatment options include:

over-the-counter pain relief like ibuprofen
the contraceptive pill which can reduce heavy menstrual bleeding
medication taken only during your period that can reduce heavy menstrual bleeding
medicines that can shrink fibroids by lowering your oestrogen and progesterone levels
in rare cases, surgery

Your doctor will discuss these treatments with you and you can ask any questions that you might have.
If you’re having difficulty getting pregnant, your doctor or specialist may suggest extra support or treatments that can help. Your doctor will discuss these with you and you can ask any questions that you might have."
Fibromyalgia,"The main symptom of fibromyalgia is widespread pain that might feel like:

an ache
a burning sensation
a sharp stabbing pain
a mixture of these 3 feelings

The pain is likely to be continuous, but it might be better or more severe at different times.
As well as widespread pain, people with fibromyalgia might also have:

increased sensitivity to sensations like touch, light, temperature, noise
fatigue (extreme tiredness)
muscle stiffness
difficulty sleeping
problems with mental processes (known as “fibro-fog”) – like problems with memory and concentration
headaches
irritable bowel syndrome (IBS) – a digestive condition that causes stomach pain and bloating
dizziness and clumsiness
feeling too hot or too cold
restless legs syndrome
tingling, numbness, prickling or burning sensations in your hands and feet (pins and needles, also known as paraesthesia)
unusually painful periods (if you get periods)
anxiety
depression

Watch Flippin’ Pain’s Flippin’ Fibromyalgia webinar to learn more about fibromyalgia"
Flu,
Foetal alcohol syndrome,
Food allergy,"The symptoms of a food allergy almost always develop a few seconds or minutes after eating the food.
Some people may develop a severe allergic reaction (anaphylaxis), which can be life threatening.
The most common type of allergic reaction to food is known as an IgE-mediated food allergy.
Symptoms include:

tingling or itching in the mouth
a raised, itchy red rash (urticarial) – in some cases, the skin can turn red and itchy, but without a raised rash
swelling of the face, mouth (angioedema), throat or other areas of the body
difficulty swallowing
wheezing or shortness of breath
feeling dizzy and lightheaded
feeling sick (nausea) or vomiting
abdominal pain or diarrhoea
hay fever-like symptoms, such as sneezing or itchy eyes (allergic conjunctivitus) 

The symptoms of a severe allergic reaction (anaphylaxis) can be sudden and get worse very quickly.
Initial symptoms of anaphylaxis are often the same as those listed above and can lead to:

increased breathing difficulties – such as wheezing and a cough
a sudden and intense feeling of anxiety and fear
a rapid heartbeat (tachycardia)
a sharp and sudden drop in your blood pressure, which can make you feel lightheaded and confused
unconsciousness

Anaphylaxis is a medical emergency. Without quick treatment, it can be life threatening. If you think you or someone you know is experiencing anaphylaxis, dial 999 and ask for an ambulance as soon as possible.
Another type of allergic reaction is a non-IgE-mediated food allergy. The symptoms of this type of allergy can take much longer to develop – sometimes up to several days.
Some symptoms of a non IgE-mediated food allergy may be what you would expect to see in an allergic reaction, such as:

redness and itchiness of the skin – although not a raised, itchy red rash (urticarial)
the skin becomes itchy, red, dry and cracked (atopic eczema)

Other symptoms can be much less obvious and are sometimes thought of as being caused by something other than an allergy. They include:

heartburn and indigestion caused by stomach acid leaking up out of the stomach (gastro-oesophageal reflux disease)
stools (faeces) becoming much more frequent or loose – though not necessarily diarrhoea
blood and mucus in the stools
in babies – excessive and inconsolable crying, even though the baby is well fed and doesn’t need a nappy change (colic)
constipation 
redness around the anus, rectum and genitals
unusually pale skin
failure to grow at the expected rate

Some children can have a mixed reaction where they experience both IgE symptoms, such as swelling, and non-IgE symptoms, such as constipation.
This can happen to children who have a milk allergy."
Food poisoning,"Symptoms of food poisoning include:

feeling sick (nausea)
being sick (vomiting)
diarrhoea, which may contain blood or mucus
stomach cramps and abdominal pain
a lack of energy and weakness
loss of appetite
a high temperature of 38C or above (fever)
aching muscles
chills

The symptoms of food poisoning usually begin within 1 to 2 days of eating contaminated food. They can also start a few hours later or several weeks later.
Food poisoning is caused by eating something that’s been contaminated with germs. Any type of food can cause food poisoning.
Food can be contaminated if it’s

not cooked or reheated thoroughly
not stored correctly – for example, it’s not been frozen or chilled
left out for too long
handled by someone who’s ill or hasn’t washed their hands
eaten after its ‘use by’ date
not reheating cooked food well enough

Further information on preparing and cooking food safely"
Frozen shoulder,"Pain and persistent stiffness in the shoulder joint are the two main symptoms of a frozen shoulder.
This makes it painful and difficult to carry out the full range of normal shoulder movements. You may find it difficult to perform everyday tasks, such as:

bathing
dressing
driving
sleeping comfortably

Symptoms vary from mild, with little difference to daily activities, to severe, where it may not be possible to move your shoulder at all.
The symptoms of a frozen shoulder usually get worse gradually, over a number of months.
There are three separate stages to the condition but sometimes these stages may be difficult to distinguish. The symptoms may also vary greatly from person to person.
During stage one, often referred to as the “freezing” phase, your shoulder starts to ache and can become very painful, for example, when reaching out for things.
The pain is often worse at night and when you lie on the affected side. This stage can last anywhere from 2-9 months.
Stage two is often known as the “frozen” phase. Your shoulder may become increasingly stiff, but the pain doesn’t usually get worse and may even decrease.
The stiffness in your shoulder can continue to affect your day to day activities. This stage usually lasts 4-12 months.
Stage three is known as the “thawing” phase. During this period, you’ll gradually regain movement in your shoulder.
If pain is still present it should start to fade, although it may come back occasionally as the stiffness eases. This stage can last 12 months or more.
In order for a frozen shoulder to be diagnosed you’ll need an assessment from a healthcare professional.
They’ll initially ask you questions about your shoulder issue and then carry out a physical examination. This will include checking your range of movement and strength.
You may sometimes need to have a further examination to rule out other possible health conditions.
Treatment options depend on the severity of your symptoms. Although, most cases improve on their own, some cases can take over a year to resolve.
During the painful phase the emphasis is on pain relief. Pain medication can help you move more comfortably, which can help your recovery.
More about taking painkillers.
It may also help to use heat or ice packs.
Exercise 
Targeted shoulder exercises to encourage movement, stretching and strengthening exercises can help to improve your arm movement and pain. 
The British Elbow and Shoulder Society have a video with specific exercises to help with a frozen shoulder.
Stop these exercises if they make your symptoms worse, or if they cause new pain.
If your shoulder pain worsens while following this advice, it’s a good idea to talk to a healthcare professional about your symptoms.
Corticosteroid Injections
If painkillers aren’t helping to control the pain, your healthcare professional may discuss the option of having a corticosteroid injection into your shoulder joint.
Corticosteroids are medicines that help reduce pain and inflammation. They may also be given with a local anaesthetic.
Injections won’t cure your condition or reduce shoulder stiffness, they are used to help with the pain.
Read more about corticosteroids
A frozen shoulder can sometimes mean you need to take some time off work to help recovery. How long you’re off will depend on the nature of your condition and your role at work.
You do not need to be symptom free before you consider returning to work. Continuing to go to work, or returning to work as soon as is possible for you, will help your recovery. Gradually getting back to your normal daily activities can help to build up your strength and stamina levels.
Following this advice, you should see gradual improvements over time.
If your frozen shoulder hasn’t improved, or it’s got worse, within 6 weeks of following this advice, it’s a good idea to contact a healthcare professional about your symptoms.
Find out how to access MSK services in your area.
When dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery."
